                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.284,                0.88069,                0.89768,                0.49064,                0.36947,                0.37988,                0.22305,                 1.2447,                0.89011,                0.89026,               0.008878,               0.008878,               0.008878
                     37,                 1.2754,                0.87942,                0.89984,                0.49286,                0.36188,                0.37481,                0.22221,                 1.2546,                0.89797,                0.89314,               0.008845,               0.008845,               0.008845
                     38,                 1.2803,                0.87394,                0.89849,                0.49851,                0.36766,                0.37611,                0.22151,                 1.2444,                0.89346,                0.89073,               0.008812,               0.008812,               0.008812
                     39,                 1.2733,                0.87082,                0.89661,                0.50319,                0.36586,                0.38071,                0.22575,                 1.2455,                0.89236,                0.89111,               0.008779,               0.008779,               0.008779
                     40,                 1.2745,                0.86741,                0.89804,                 0.4799,                0.36873,                0.37049,                0.22048,                 1.2464,                0.90008,                0.89106,               0.008746,               0.008746,               0.008746
                     41,                 1.2706,                0.86505,                0.89579,                0.49344,                 0.3793,                0.38818,                0.22811,                 1.2363,                0.87925,                0.88921,               0.008713,               0.008713,               0.008713
                     42,                 1.2707,                0.86414,                0.89508,                0.47486,                0.37436,                0.37881,                0.22448,                 1.2387,                0.88573,                 0.8885,                0.00868,                0.00868,                0.00868
                     43,                 1.2715,                0.86933,                0.89638,                0.49439,                0.37451,                0.38366,                0.22776,                 1.2346,                0.88638,                0.88786,               0.008647,               0.008647,               0.008647
                     44,                 1.2733,                0.87269,                0.89571,                0.49737,                0.37061,                0.38422,                0.22845,                 1.2268,                0.87977,                0.88658,               0.008614,               0.008614,               0.008614
                     45,                 1.2656,                0.86376,                0.89735,                 0.4924,                0.37511,                0.38563,                0.22896,                 1.2268,                0.87863,                0.88636,               0.008581,               0.008581,               0.008581
